text 	sentiment
Need common interests. neutral
Summer = grill + lake. positive
Too many mosquitos lol. negative
I like warm breeze. neutral
Help others, always. positive
Sometimes too lazy help. neutral
Dont help strangers. negative
Beer optional. neutral
Join group drink maybe. positive
No drink for me. negative
Deadline fine atm. neutral
Deadline soon, time rush. negative
Work fast when pressure. positive
Trip tropic = awesome. positive
Too far and hot. negative
Would go once. neutral
Watersports = adrenaline! positive
No swimming skill, nope. negative
Might try surf someday. neutral
Eat veggies now more. positive
Skip breakfast often. negative
Trying improve diet. neutral
Bio stuff nice idea. positive
Overrated and expensive. negative
Buy normal anyway. neutral
Eat fast between labs. neutral
Not picky at all fr. positive
Avoid cafeteria food lol. negative
Home 2 days = relax. positive
Gets boring after day. negative
Fine w Netflix tho. neutral
Cruise cool if long. positive
Small boat scary. negative
Depends people onboard. neutral
Wigs? nah, weird. negative
Could try for fun. positive
Never thought about it. neutral
Book day = chill time. positive
Reading too long hurts eyes. negative
Maybe one chapter ok. neutral
Challenge = growth imo. positive
No thanks, too tired. negative
Depends how big one. neutral
Party mood sometimes. positive
Not in mood always. neutral
Crowded parties suck. negative
Easier make friends online. positive
Too shy irl. negative
Need time to open. neutral
Summer = sunshine vibes. positive
Hate sweating all day. negative
Evenings best time. neutral
I help team always. positive
If free I help. neutral
Not my problem bro. negative
Beer ok sometimes. positive
No mood, skip it. neutral
Dont like beer taste. negative
Deadline soon, coffee ready. positive
Deadline fine atm. neutral
Always late lol. negative
Trip tropic sounds dope. positive
Too sunny for me. negative
Depends season. neutral
Watersports fun time. positive
Hate cold water tbh. negative
I try next summer. neutral
Eat more fruits now. positive
Fast food addiction lol. negative
Trying moderation rn. neutral
Bio food sometimes ok. positive
Overhyped imo. negative
Buy cheap alt. neutral
Eat everything i can. positive
Avoid seafood ew. negative
Not picky much. neutral
Stay home comfy. positive
Need go out soon. negative
Fine w laptop only. neutral
Cruise = yes pls. positive
Small boat cramped. negative
Depends trip length. neutral
Wig? maybe lol. positive
Weird thing ngl. negative
For fun ok. neutral
Book time = relax. positive
Too boring sometimes. negative
One hour max. neutral
Challenge fun stuff. positive
Too lazy rn. negative
Maybe later. neutral
I like parties. positive
Sometimes skip them. neutral
Too noisy lol. negative
Friends easy chat. positive
Social anxiety meh. negative
Takes me time. neutral
Summer = sea + chill. positive
Too bright outside. negative
Love summer mood. neutral
Help in group work. positive
If ask nice, sure. neutral
Dont bother me pls. negative
Beer time maybe. positive
No beer today. neutral
Never drink alcohol. negative
Deadline ok now. neutral
Deadline near = chaos. negative
Work faster soon. positive
Trip tropic = wow. positive
Too warm for me. negative
Maybe later trip. neutral
Watersport rocks. positive
Scary waves no. negative
Maybe try once idk. neutral
I try to eat healthy but when project deadlines come closer, I just order pizza and forget about vegetables. negative
Healthy food makes me feel good and focused, but sometimes I really crave burger after long lab session. neutral
I honestly want to eat better, but bio food costs too much for my student wallet rn. negative
I would pay more for real organic food if I could be sure it’s not fake marketing. positive
I don’t really care about bio labels, as long as it tastes good and not expired lol. neutral
I eat everything, even weird food, except maybe oysters cuz texture freaks me out a bit. positive
I’m not picky at all, unless the food smells weird or looks like it’s from 2005. neutral
Two days inside sound great actually, I could finally rest, play games, and do zero social interaction. positive
I would go crazy staying home two days straight without sunlight or contact with other humans. negative
If I have coffee, WiFi and Netflix, I can easily survive two full days indoors. neutral
Spending two weeks on a small cruise boat sounds awesome, like real-life sea adventure from YouTube vlogs. positive
I’d love to try living on a boat, but I’d probably get seasick after two hours lol. neutral
No way I’d go on a small boat for two weeks, that sounds like a horror movie. negative
I don’t wear wigs, but I think some people look really cool with them, especially for cosplay events. positive
Wearing a wig feels weird for me, I think I’d just sweat and look awkward in it. negative
Never wore a wig, but I’d totally try one for Halloween party just for the fun. neutral
I could spend a whole day reading if the book is sci-fi or something tech-related, otherwise no chance. positive
Reading all day sounds boring tbh, I’d rather code something or go outside for a bike ride. negative
A day with a good book and coffee sounds peaceful, like reset from all uni stress. positive
I love challenges, especially coding ones, they make me think harder and improve skills I didn’t know I had. positive
I prefer comfort zone sometimes, especially when life already feels like one big group project deadline. negative
I take challenges only when I have enough time to actually learn something from them, not just rush. neutral
At parties I usually talk a lot, make jokes, and somehow become the guy everyone remembers next day. positive
I go to parties sometimes, but I prefer chill gatherings with a few friends and some good music. neutral
Parties make me tired honestly, too loud, too crowded, too many drunk people asking weird questions. negative
I make friends pretty easily, especially when we share the same nerdy interests like programming or gaming. positive
It’s hard for me to make new friends, I always overthink what to say and end up quiet. negative
I usually need time to trust people, but once I do, I’m loyal like Linux to open source. neutral
I love summer weather, beach days, and evening bike rides by the sea in Gdańsk. positive
Summer is fine but too hot sometimes, I can’t focus when temperature hits 30°C in dorm room. negative
I like summer evenings, less people outside, nice light, good time for walks or photography. neutral
I always help others with projects if they really want to learn, even if it takes extra time. positive
I don’t mind helping classmates, but not when I’m already drowning in my own deadlines. neutral
If someone doesn’t even try, I won’t waste my time explaining same thing again and again. negative
If I don’t feel like drinking, I’ll just grab Pepsi and still hang with everyone anyway. neutral
Even if I don’t wanna drink, I might join for one beer just for the social vibe. positive
I never drink when I don’t want to, no point pretending to fit in for others. negative
Deadline in one week means I still have at least three days of procrastination before panic starts. neutral
I start worrying about deadlines only when it’s 24 hours left and caffeine becomes my best friend. negative
One week before deadline feels fine, enough time to plan everything and finish without stress. positive
Winning a trip to tropical country sounds awesome, I’d pack my camera and go immediately. positive
Hot weather isn’t my thing, I’d rather go to Norway than tropical beach full of sunburned tourists. negative
Tropical countries look beautiful but honestly I’d just sit under shade and drink coconut water. neutral
I like watersports, especially kayaking, feels relaxing and fun after long studying week. positive
Watersports are fine, but I’m lazy and don’t like waking up early for such activities. neutral
Nope, I don’t do watersports, I can barely swim and prefer staying dry on land. negative
Eating healthy helps me stay focused during long coding sessions, less sugar crashes = more productivity. positive
I try to eat healthy but it’s hard when fast food is literally next to the dorm. negative
I’m improving my diet slowly, cooking more at home and avoiding late-night kebab runs. neutral
Bio food feels overpriced, like paying extra for the same tomato with different label. negative
If bio food helps environment, I’d pay extra, feels like small step toward sustainability. positive
I buy eco food sometimes when it’s on sale and my budget somehow survives the week. neutral
I can eat anything except seafood, idk why but it just doesn’t work for me. negative
Not picky at all, food is food, as long as it’s warm and not raw inside. positive
Some food I can’t stand, like soggy pasta or cold fries, just no. negative
Two days home with laptop and snacks sounds like peaceful heaven honestly. positive
I’d get restless if I stay home for two days, need walk outside or lose my mind. negative
If I have stable internet, I can stay home forever lol. neutral
Cruise sounds cool, sunsets, sea breeze, and no emails for two weeks, I’m in. positive
Boats are fine, but small ones scare me a bit, especially in open sea. neutral
Two weeks on boat? No thanks, sounds like nausea and zero privacy. negative
Never wore wig but I saw some that look really cool in anime cons. positive
I’d only wear wig for cosplay, maybe as a joke with friends. neutral
Wigs look funny but also kinda creepy sometimes ngl. negative
Reading all day feels peaceful, I’d love to do that more often. positive
I’d rather do something active than sit and read for hours. negative
Books are fine but I lose focus fast, depends on topic. neutral
I like challenges, they make life less boring and give sense of progress. positive
Too many challenges stress me out, I just need chill sometimes. negative
Depends on type of challenge, some are worth it, some not. neutral
I’m usually the one hyping up everyone at parties, good vibes only. positive
I like parties but not when it gets too chaotic or loud. neutral
I don’t like parties, too many people and small talk is painful. negative
Making friends easy when you study same thing and share memes. positive
Hard making friends outside of uni, people have diff interests. negative
I make friends slow, need trust and chill atmosphere first. neutral
Summer gives me energy and motivation to do more stuff outdoors. positive
Summer heat kills my focus completely, I just melt at my desk. negative
Summer is fine, I like the light and vibe, not the sweating. neutral
I love helping classmates with coding problems, makes me feel useful and smart. positive
I help people when I can, but sometimes I just have no time for that. neutral
I hate helping when someone doesn’t even read the task properly. negative
If I don’t feel like drinking, I’ll still hang, no peer pressure needed. neutral
Sometimes I drink one beer just to be social, nothing crazy. positive
If I don’t want to drink, I won’t, simple as that. negative
Deadlines are fine as long as I start early, which rarely happens. neutral
Deadline close means sleepless nights and Red Bull diet incoming. negative
I usually manage deadlines fine, just need one solid push. positive
Trip to hot country sounds nice, beach + ocean = pure relax. positive
Too hot countries make me dizzy, I prefer cooler places. negative
Tropical countries are cool for vacation photos, not living though. neutral
Watersports give me adrenaline rush, love that feeling of speed on water. positive
I like watching watersports but doing them myself? maybe once. neutral
Watersports not for me, I’d drown in 5 minutes probably. negative
Healthy eating keeps my brain working better during exam weeks. positive
Healthy diet? not with uni cafeteria prices lol. negative
I try to balance food, not always successful but still trying. neutral
Bio food nice idea but too expensive for students. negative
If bio food really eco-friendly, I’d support it more. positive
Sometimes I buy bio milk just cuz it tastes better. neutral
I can eat anything that’s not moving anymore. positive
Hate cold soups, just wrong combination for me. negative
Not picky, but don’t mix sweet with meat please. neutral
Two days home = peace, movies, coding, perfect combo. positive
I’d go mad locked at home for two days straight. negative
Fine as long as there’s WiFi and snacks. neutral
Cruise trip sounds dreamy, I’d love that break. positive
Small boats scare me, too cramped and shaky. negative
Depends if it’s sea or lake cruise. neutral
Never tried wig, maybe someday for costume event. neutral
I think wigs can look awesome on some ppl. positive
I’d never wear wig in public, feels too odd. negative
Reading full day with music is top tier relax. positive
Reading all day bores me after few chapters. negative
Depends on how interesting book is, I guess. neutral
Challenges keep life interesting and brain active. positive
Too many challenges = instant burnout. negative
Depends on mood, sometimes I go for it. neutral
I love loud parties, best way to clear mind. positive
I like small parties with close friends, more chill. neutral
I hate parties, too loud, too much small talk. negative
